trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
224,1000,3e-05,8,,0.02734169998439029,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.826501162665152,282.1875
225,1000,5e-05,4,,0.02480209997156635,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8215882426984059,282.1875
226,1000,5e-05,8,,0.0349421999999322,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8261437407675272,282.1875
227,1000,8e-05,4,,0.032112999993842095,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8212426428094094,282.1875
228,1000,8e-05,8,,0.027598800021223724,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8264889858521076,282.1875
229,1000,0.0001,4,,0.03680440003518015,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.8210234388513031,282.1875
230,1000,0.0001,8,,0.026726200012490153,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8265303388485823,282.1875
231,1000,0.00015,4,,0.04022000002441928,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.820865089978338,282.203125
232,1000,0.00015,8,,0.026734399958513677,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8265299499214508,282.203125
233,1000,0.0002,4,,0.02666319999843836,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.821499798017842,282.203125
234,1000,0.0002,8,,0.0326335999998264,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8262517488728691,282.203125
235,1000,0.0003,4,,0.02092159999301657,2478,1.0,0.0,125,5,335,0.13518966908797417,19.824,7.0,112,268,0.82177369203779,282.203125
236,1000,0.0003,8,,0.026890399982221425,2478,1.0,0.0,113,6,335,0.13518966908797417,21.92920353982301,8.0,103,258,0.8265225519532214,282.203125
