trial,k,r,neighbor_mode,min_dense_points,runtime_sec,total_points,coverage_ratio,noise_ratio,n_clusters,effective_ports,largest_cluster_points,largest_cluster_share,mean_cluster_points,median_cluster_points,edge_count,transition_count,score,rss_mb
103,120,3e-05,4,,0.03767839999636635,35881,0.9991639029012569,0.0008360970987431049,145,36,4774,0.13316225488828765,247.24827586206897,15.0,380,3167,0.9713430104227707,352.12890625
99,120,1e-05,4,,0.043982200033497065,35881,1.0,0.0,156,36,4774,0.13305091831331345,230.00641025641025,13.5,402,3164,0.9712833532179428,355.16015625
97,120,5e-06,4,,0.04771610000170767,35881,1.0,0.0,156,36,4774,0.13305091831331345,230.00641025641025,13.5,402,3164,0.971112667976172,355.08984375
140,200,0.0003,8,,0.01671840000199154,35881,0.9808533764387838,0.019146623561216214,108,43,4122,0.1171222367448997,325.8703703703704,56.5,320,3033,0.9709667222037316,355.89453125
111,120,0.00015,4,,0.017683900019619614,35881,0.993729271759427,0.006270728240572954,118,36,4771,0.13380637199910253,302.1694915254237,25.5,349,3188,0.9708022128540404,352.15234375
258,1400,0.0002,8,,0.019934699987061322,35881,0.9498063041721245,0.05019369582787547,380,72,2702,0.07928403755868545,89.6842105263158,28.0,941,4642,0.9706175147920442,357.734375
113,120,0.0002,4,,0.019776800007093698,35881,0.9900783144282489,0.009921685571751104,104,36,4771,0.13429978888106966,341.58653846153845,31.5,328,3085,0.9696899576649989,352.24609375
115,120,0.0003,4,,0.017802600050345063,35881,0.9858142192246593,0.014185780775340717,92,37,4771,0.13488069659617777,384.4782608695652,53.0,306,3014,0.968602854936118,355.60546875
142,200,0.0005,8,,0.017473199986852705,35881,0.9608149159722416,0.03918508402775844,91,42,3646,0.1057577955039884,378.84615384615387,78.0,288,2808,0.9681935133700528,356.66015625
141,200,0.0005,4,,0.018301500007510185,35881,0.9608149159722416,0.03918508402775844,108,49,3646,0.1057577955039884,319.212962962963,74.5,368,3297,0.9681535411458957,356.671875
211,800,0.0003,4,,0.017036400036886334,35881,0.9435355759315515,0.05646442406844854,308,64,2978,0.08796337320927484,109.91883116883118,31.0,860,4334,0.9674536681955543,357.0703125
